DEP;REG;ANNEE;MOIS;SUPER_SANS_PLOMB;SUPER_SANS_PLOMB_95;SUPER_SANS_PLOMB_95_E10;SUPER_SANS_PLOMB_98;SUPER_ETH_E85;GAZOLE;FOD;FOL;GNR;GPL;CARBUREACTEUR
FR;FR;2019; 0;8425666,5;2342648,0;4003062,0;1818306,0;261650,44;32294804;5300734,0;214858;4260519,2;1676043;7124623,6
FR;FR;2019; 1; 593881,1; 174424,1; 282058,1; 121628,9; 15770,03; 2553047; 777531,8; 24379; 252563,2; 209684; 525813,9
FR;FR;2019; 2; 574555,3; 166532,0; 269928,5; 122052,7; 16042,09; 2455242; 598045,4; 20822; 276892,9; 191562; 496515,4
FR;FR;2019; 3; 648224,6; 186844,7; 302426,4; 140548,3; 18405,17; 2699100; 430835,1; 20259; 319984,6; 153153; 553653,4
FR;FR;2019; 4; 700012,8; 204816,8; 322078,0; 152810,1; 20307,92; 2740912; 356740,4; 18443; 368805,6; 133099; 593049,8
FR;FR;2019; 5; 714746,7; 205805,0; 331292,5; 156134,3; 21514,99; 2698550; 252203,8; 15556; 358813,6; 114055; 607533,0
FR;FR;2019; 6; 737732,5; 205310,2; 346159,9; 164472,0; 21790,31; 2702039; 268514,0; 16835; 394559,0;  90984; 646339,2
FR;FR;2019; 7; 821912,4; 228583,3; 385968,7; 182647,5; 24712,96; 3002880; 275130,3; 16746; 526517,6;  94159; 684631,6
FR;FR;2019; 8; 789580,1; 218308,3; 372834,6; 174310,6; 24126,69; 2591204; 362476,3; 12866; 358932,1;  86136; 693331,2
FR;FR;2019; 9; 720170,0; 192790,0; 344474,2; 159737,7; 23168,10; 2675561; 593928,5; 17324; 420755,3; 108941; 645068,1
FR;FR;2019;10; 735285,7; 197209,5; 355882,9; 155889,0; 26304,38; 2870957; 448941,7; 19465; 413656,2; 155210; 609359,0
FR;FR;2019;11; 650438,3; 169136,5; 323157,6; 134787,4; 23356,67; 2585739; 458758,1; 17266; 325968,7; 160133; 516259,8
FR;FR;2019;12; 739127,0; 192887,7; 366800,7; 153287,4; 26151,12; 2719572; 477628,6; 14897; 243070,3; 178927; 553069,0
